Season,Week,GameStatus,Day,Date,AwayTeam,AwayRecord,AwayScore,AwayWin,HomeTeam,HomeRecord,HomeScore,HomeWin,AwaySeeding,HomeSeeding,PostSeason
2024,Hall Of Fame,FINAL,THU,08/01,Texans,0-1,17,0.0,Bears,1-0,21,1.0,,,0
2024,Preseason Week 1,FINAL,THU,08/08,Panthers,0-1,3,0.0,Patriots,1-0,17,1.0,,,0
2024,Preseason Week 1,FINAL,THU,08/08,Lions,0-1,3,0.0,Giants,1-0,14,1.0,,,0
2024,Preseason Week 1,FINAL,FRI,08/09,Falcons,0-1,13,0.0,Dolphins,1-0,20,1.0,,,0
2024,Preseason Week 1,FINAL,FRI,08/09,Texans,1-1,20,1.0,Steelers,0-1,12,0.0,,,0
2024,Preseason Week 1,FINAL,FRI,08/09,Eagles,1-0,16,1.0,Ravens,0-1,13,0.0,,,0
2024,Preseason Week 1,FINAL,SAT,08/10,Commanders,0-1,17,0.0,Jets,1-0,20,1.0,,,0
2024,Preseason Week 1,FINAL,SAT,08/10,Bears,2-0,33,1.0,Bills,0-1,6,0.0,,,0
2024,Preseason Week 1,FINAL,SAT,08/10,Raiders,0-1,23,0.0,Vikings,1-0,24,1.0,,,0
2024,Preseason Week 1,FINAL,SAT,08/10,Packers,1-0,23,1.0,Browns,0-1,10,0.0,,,0
2024,Preseason Week 1,FINAL,SAT,08/10,Buccaneers,1-0,17,1.0,Bengals,0-1,14,0.0,,,0
2024,Preseason Week 1,FINAL,SAT,08/10,Chiefs,0-1,13,0.0,Jaguars,1-0,26,1.0,,,0
2024,Preseason Week 1,FINAL,SAT,08/10,49ers,0-1,13,0.0,Titans,1-0,17,1.0,,,0
2024,Preseason Week 1,FINAL,SAT,08/10,Seahawks,1-0,16,1.0,Chargers,0-1,3,0.0,,,0
2024,Preseason Week 1,FINAL,SAT,08/10,Saints,1-0,16,1.0,Cardinals,0-1,14,0.0,,,0
2024,Preseason Week 1,FINAL,SUN,08/11,Broncos,1-0,34,1.0,Colts,0-1,30,0.0,,,0
2024,Preseason Week 1,FINAL,SUN,08/11,Cowboys,0-1,12,0.0,Rams,1-0,13,1.0,,,0
2024,Preseason Week 2,FINAL,THU,08/15,Eagles,2-0,14,1.0,Patriots,1-1,13,0.0,,,0
2024,Preseason Week 2,FINAL,SAT,08/17,Falcons,0-2,12,0.0,Ravens,1-1,13,1.0,,,0
2024,Preseason Week 2,FINAL,SAT,08/17,Bengals,0-2,3,0.0,Bears,3-0,27,1.0,,,0
2024,Preseason Week 2,FINAL,SAT,08/17,Giants,1-1,10,0.0,Texans,2-1,28,1.0,,,0
2024,Preseason Week 2,FINAL,SAT,08/17,Lions,1-1,24,1.0,Chiefs,0-2,23,0.0,,,0
2024,Preseason Week 2,FINAL,SAT,08/17,Vikings,2-0,27,1.0,Browns,0-2,12,0.0,,,0
2024,Preseason Week 2,FINAL,SAT,08/17,Jets,2-0,15,1.0,Panthers,0-2,12,0.0,,,0
